regime,trajectory_id,teacher_forced_final_l2,autoregressive_final_l2,persistence_final_l2,feedback_ratio,ar_relative_mass_error,ar_signed_mass_drift,ar_accumulated_absolute_mass_change,ar_negative_fraction,ar_negative_mass_fraction,ar_minimum,ar_maximum
high_velocity,velocity_pp:0,0.04612073131561292,0.4027666488867077,1.4237198021965243,8.732876461357455,0.021186256678241266,-0.021186256678241106,0.021810577902044753,0.3115234375,0.01308722778621076,-0.008199756965706836,0.9439704369714746
high_velocity,velocity_pp:1,0.06148602002364796,0.41574029372100624,1.1197141271469015,6.7615417872405725,0.236622101208285,-0.236622101208285,0.236622101208285,0.112548828125,0.00270945357604336,-0.010627769817793023,0.6025184069718207
high_velocity,velocity_pp:2,0.05341149333722159,0.3853755625508577,1.2870605934308124,7.215217895476737,0.03963113143179319,-0.039631131431793316,0.039631131431793316,0.091064453125,0.0011477908811849816,-0.005057393110639727,0.9277348295521013
high_velocity,velocity_pp:3,0.042288788328959596,0.3178342073642865,1.3848453496631827,7.515803122375864,0.036805655272666285,-0.036805655272666285,0.0454221626732789,0.23046875,0.008132252866523432,-0.008413905031886229,0.6018301120073103
high_velocity,velocity_pp:4,0.04837440137179221,0.3482643880661181,1.3172202507800737,7.199352926136589,0.029507367797081994,-0.029507367797082164,0.029507367797082164,0.20654296875,0.0039484228624104886,-0.006291952360131511,0.8569467501058544
high_velocity,velocity_pp:5,0.06175199533724127,0.43423371381933257,1.3054049739072182,7.031897697360004,0.16261370856184149,-0.16261370856184149,0.16261370856184149,0.264404296875,0.009422195990849438,-0.009021631243820064,0.5423132627111161
high_velocity,velocity_pp:6,0.049196669295770094,0.40243835178500886,1.2776902733827467,8.180195073076021,0.02671603485074744,0.02671603485074744,0.02671603485074744,0.0,0.0,0.0010282361417420782,1.1083158110850733
high_velocity,velocity_pp:7,0.06990327278736283,0.5549642794519584,1.4502611117627782,7.9390314261836,0.09997638586268932,-0.09997638586268932,0.09997638586268932,0.265625,0.009371288456857562,-0.00867255613791014,0.7293700963657189
high_velocity,velocity_pp:8,0.04130476962963727,0.3675150031861043,1.4153160836275511,8.89764079261206,0.051746997099059375,-0.051746997099059375,0.05796245109818994,0.2998046875,0.012978180779389567,-0.006750572330365398,0.739810593746131
high_velocity,velocity_pp:9,0.04746429191509719,0.3666858402996929,1.1271337679160367,7.725509546326117,0.2336442959375494,-0.2336442959375494,0.2336442959375494,0.148193359375,0.0036691839526649993,-0.010464021093267259,0.7059784001393435
high_velocity,velocity_pp:10,0.03758146912091667,0.3208473124872852,1.424521313436518,8.53738078878645,0.08674766462737712,-0.08674766462737712,0.09487319729785067,0.435302734375,0.026178143716690614,-0.004552290627811109,0.49325476816652725
high_velocity,velocity_pp:11,0.052357221153259595,0.37137607423814495,1.2116069548730113,7.0931204150628275,0.21143305238269475,-0.21143305238269505,0.21143305238269505,0.05224609375,0.000209716401061879,-0.0024321068465991275,0.9597727504407655
high_velocity,velocity_pp:12,0.04256107931497641,0.3465911225765241,1.1909290681052558,8.143381891505873,0.20148126219441242,-0.20148126219441242,0.20148126219441242,0.228515625,0.004955501669353568,-0.00544583305053202,0.6892220088820922
high_velocity,velocity_pp:13,0.033395748439749184,0.23874045042733494,1.3271713433464434,7.148827667631334,0.07349573380280205,-0.07349573380280205,0.08351133540902929,0.2939453125,0.007784861482017629,-0.007010613278958591,0.6439439142035656
high_velocity,velocity_pp:14,0.042967905257526036,0.3231314976295564,1.193262772143182,7.520299062588311,0.09616446962797395,-0.09616446962797363,0.10220914034345076,0.120849609375,0.0025744788819726315,-0.006055959899630967,1.0063075997334507
high_velocity,velocity_pp:15,0.03503084625442005,0.2886390970226504,1.1191410891869953,8.239569633183814,0.18112033283107964,-0.18112033283107978,0.18112033283107978,0.223388671875,0.004830689856522719,-0.007850232617754319,0.8872257760872496
high_velocity,velocity_pn:0,0.043006847107269285,0.33507181061093455,1.1069167216494575,7.791127068096527,0.15485745937039128,-0.15485745937039117,0.15485745937039117,0.069580078125,0.0007597245486926094,-0.005461739026602644,0.8662424664512245
high_velocity,velocity_pn:1,0.051494867570132996,0.4673532498652223,1.155708340545029,9.07572486187511,0.02618959458729053,-0.026189594587290393,0.05108714568449314,0.0771484375,0.0009861039380337955,-0.004661231823140322,1.2361536990729776
